"CodMateria","CodNivel","CodEspecializacion","CodParaleloId","CodProfesor","CodAulaTipo","Composicion",
"1","1","1","1","3","1","2.2.2",
"1","1","1","2","3","1","2.2.2",
"1","2","1","1","2","1","2.2.2",
"1","2","1","2","2","1","2.2.2",
"1","3","1","1","2","1","2.2.2",
"1","4","1","1","1","1","2.2.2",
"2","5","1","1","2","10","2.2",
"3","3","1","1","3","1","1.1.1",
"3","4","1","1","2","1","1.1.1",
"3","5","1","1","3","1","1.1.1",
"3","6","1","1","3","1","1.1.1",
"4","3","1","1","3","1","1",
"4","4","1","1","3","1","1",
"5","1","1","1","5","1","2.1",
"5","1","1","2","5","1","2.1",
"5","2","1","1","5","1","2.1",
"5","2","1","2","5","1","2.1",
"5","3","1","1","5","1","2.1",
"5","4","1","1","4","1","2.1",
"5","5","1","1","4","1","2",
"5","6","1","1","4","1","2",
"6","1","1","1","5","1","2",
"6","1","1","2","5","1","2",
"6","2","1","1","5","1","2",
"6","2","1","2","5","1","2",
"6","3","1","1","5","1","2.1",
"6","4","1","1","4","1","2.1",
"6","5","1","1","4","1","2",
"6","6","1","1","4","1","2",
"7","5","1","1","4","1","1",
"7","6","1","1","4","1","1",
"10","1","1","1","5","1","1",
"10","1","1","2","5","1","1",
"10","2","1","1","5","1","1",
"10","2","1","2","5","1","1",
"11","3","1","1","6","1","2",
"12","4","1","1","6","5","2.1",
"12","5","1","1","6","5","2",
"12","6","1","1","6","5","2",
"14","1","1","1","17","9","1.1",
"14","1","1","2","17","9","1.1",
"14","2","1","1","17","9","1.1",
"14","2","1","2","17","9","1.1",
"14","3","1","1","8","9","1.1",
"14","4","1","1","8","9","1.1",
"14","5","1","1","8","9","1.1",
"14","6","1","1","8","9","1.1",
"15","1","1","1","7","7","1.1",
"15","1","1","2","7","7","1.1",
"15","2","1","1","7","7","1.1",
"15","2","1","2","7","7","1.1",
"16","1","1","1","9","1","2.2.1",
"16","1","1","2","9","1","2.2.1",
"16","2","1","1","9","1","2.2.1",
"16","2","1","2","9","1","2.2.1",
"16","3","1","1","9","1","2.2",
"16","4","1","1","9","1","2.2",
"16","5","1","1","9","1","1.1",
"16","6","1","1","9","1","1.1",
"17","1","1","1","10","4","1",
"17","1","1","2","10","4","1",
"17","2","1","1","10","4","1",
"17","2","1","2","10","4","1",
"18","1","1","1","11","3","1.1",
"18","1","1","2","11","3","1.1",
"18","2","1","1","11","3","1.1",
"18","2","1","2","11","3","1.1",
"18","3","1","1","11","3","1.1",
"18","4","1","1","11","3","1.1",
"18","5","1","1","11","3","1.1",
"18","6","1","1","11","3","1.1",
"19","1","1","1","12","6","1.1",
"19","1","1","2","12","6","1.1",
"19","2","1","1","12","6","1.1",
"19","2","1","2","12","6","1.1",
"19","3","1","1","12","6","1.1",
"19","4","1","1","12","6","1.1",
"19","5","1","1","12","6","1.1",
"19","6","1","1","12","6","1.1",
"20","1","1","1","13","1","2.2.1",
"20","1","1","2","13","1","2.2.1",
"20","2","1","1","14","1","2.1",
"20","2","1","2","14","1","2.1",
"20","3","1","1","15","1","2.1",
"20","4","1","1","16","1","2.2",
"21","3","1","1","6","5","2.1",
"21","4","1","1","6","5","2.1",
"21","5","1","1","6","5","2.2",
"21","6","1","1","6","5","2.2",
"22","5","1","1","3","11","1.1",
"22","6","1","1","3","11","1.1",
"23","1","1","1","13","1","2.2.2.2",
"23","1","1","2","13","1","2.2.2.2",
"23","2","1","1","14","1","2.2.2.2",
"23","2","1","2","14","1","2.2.2.2",
"23","3","1","1","15","1","2.2.2",
"23","4","1","1","16","1","2.2.2",
"23","5","1","1","16","1","2.2.2.2.1",
"23","6","1","1","16","1","2.2.2.2.2",
"24","1","1","1","18","1","1",
"24","1","1","2","18","1","1",
"24","2","1","1","18","1","1",
"24","2","1","2","18","1","1",
"24","3","1","1","18","1","1",
"24","4","1","1","18","1","1",
"24","5","1","1","18","1","1",
"24","6","1","1","18","1","1",
"25","5","1","1","1","10","2.2.2",
"26","2","1","1","14","1","1.1",
"26","2","1","2","14","1","1.1",
"26","3","1","1","15","1","1.1",
"27","1","1","1","15","1","1.1",
"27","1","1","2","15","1","1.1",
"27","2","1","1","15","1","1.1",
"27","2","1","2","15","1","1.1",
"27","3","1","1","15","1","1.1",
"27","4","1","1","15","1","1.1",
"27","5","1","1","15","1","1",
"28","6","1","1","1","10","2.2.2",
"29","6","1","1","1","10","2.2",
"30","1","1","1","19","1","2.1",
"30","1","1","2","19","1","2.1",
