"CodMateria","CodNivel","CodEspecializacion","CodParaleloId","CodProfesor","CodAulaTipo","Composicion",
"1","1","1","1","32","1","1",
"1","1","1","2","21","1","1",
"1","1","1","3","29","1","1",
"1","1","1","5","22","1","1",
"1","2","1","1","13","1","1",
"1","2","1","2","33","1","1",
"1","2","1","3","14","1","1",
"1","2","1","5","31","1","1",
"1","3","1","1","20","1","1",
"1","3","1","2","24","1","1",
"1","3","1","3","28","1","1",
"1","3","1","5","34","1","1",
"2","4","2","1","1","1","3.3.2.2",
"2","4","2","2","1","1","3.3.2.2",
"2","4","2","3","2","1","3.3.2.2",
"2","4","3","4","4","1","2",
"2","4","4","5","4","1","2.1",
"2","5","2","1","2","1","3.3.2.2",
"2","5","2","2","3","1","3.3.2.2",
"2","5","2","3","3","1","3.3.2.2",
"2","5","3","4","4","1","2",
"2","5","4","5","5","1","2.2",
"2","6","2","1","4","1","3.3.2.2",
"2","6","2","2","5","1","3.3.2.2",
"2","6","2","3","6","1","3.3.2.2",
"2","6","3","4","5","1","2",
"2","6","4","5","5","1","2.2",
"3","6","2","1","6","1","1.1.1",
"3","6","2","2","6","1","1.1.1",
"3","6","2","3","4","1","1.1.1",
"4","4","3","4","8","1","2.2.2.1.1",
"4","5","3","4","7","1","2.2.2.1.1",
"4","6","3","4","7","1","2.2.2.1.1",
"5","4","2","1","7","1","2",
"5","4","2","2","7","1","2",
"5","4","2","3","10","1","2",
"5","4","4","5","10","1","2",
"6","4","2","1","8","1","1.1",
"6","4","2","2","9","1","1.1",
"6","4","2","3","9","1","1.1",
"6","4","3","4","9","1","1.1.1",
"6","5","2","1","9","1","1.1",
"6","5","2","2","9","1","1.1",
"6","5","2","3","9","1","1.1",
"6","5","3","4","9","1","1.1.1",
"6","6","3","4","9","1","1.1.1",
"7","1","1","1","11","1","1.1.1.1.1",
"7","1","1","2","11","1","1.1.1.1.1",
"7","1","1","3","12","1","1.1.1.1.1",
"7","1","1","5","12","1","1.1.1.1.1",
"7","2","1","1","13","1","1.1.1.1.1",
"7","2","1","2","13","1","1.1.1.1.1",
"7","2","1","3","14","1","1.1.1.1.1",
"7","2","1","5","14","1","1.1.1.1.1",
"7","3","1","1","15","1","1.1.1.1.1",
"7","3","1","2","15","1","1.1.1.1.1",
"7","3","1","3","16","1","1.1.1.1.1",
"7","3","1","5","16","1","1.1.1.1.1",
"7","4","2","1","11","1","1.1.1.1",
"7","4","2","2","11","1","1.1.1.1",
"7","4","2","3","12","1","1.1.1.1",
"7","4","3","4","12","1","2.1",
"7","4","4","5","16","1","2.2.1",
"7","5","2","1","13","1","1.1.1",
"7","5","2","2","13","1","1.1.1",
"7","5","2","3","14","1","1.1.1",
"7","5","3","4","13","1","2.1",
"7","5","4","5","12","1","2.2.1",
"7","6","2","1","14","1","1.1.1",
"7","6","2","2","15","1","1.1.1",
"7","6","2","3","16","1","1.1.1",
"7","6","3","4","14","1","2.1",
"7","6","4","5","15","1","2.1",
"8","4","2","1","15","1","2",
"8","4","2","2","15","1","2",
"8","4","2","3","16","1","2",
"8","4","4","5","11","1","2",
"8","5","2","1","11","1","1",
"8","5","2","2","11","1","1",
"8","5","2","3","13","1","1",
"8","5","4","5","17","1","1",
"8","6","2","1","17","1","1",
"8","6","2","2","17","1","1",
"8","6","2","3","17","1","1",
"8","6","4","5","16","1","1",
"9","1","1","1","21","1","1.1.1.1.1",
"9","1","1","2","21","1","1.1.1.1.1",
"9","1","1","3","22","1","1.1.1.1.1",
"9","1","1","5","22","1","1.1.1.1.1",
"9","2","1","1","20","1","2.1.1.1",
"9","2","1","2","19","1","2.1.1.1",
"9","2","1","3","19","1","2.1.1.1",
"9","2","1","5","19","1","2.1.1.1",
"9","3","1","1","20","1","1.1.1.1.1",
"9","3","1","2","18","1","1.1.1.1.1",
