"CodProfesor","CodDia","CodHora","CodProfProhibicionTipo",
"3","2","7","2",
"3","3","7","2",
"3","4","7","2",
"3","5","7","2",
"3","6","7","2",
"6","2","1","3",
"6","2","2","2",
"6","3","1","3",
"6","3","2","2",
"6","4","1","3",
"6","4","2","2",
"6","4","3","3",
"6","4","5","3",
"6","4","6","3",
"6","4","7","3",
"6","5","1","3",
"6","5","2","2",
"6","6","1","3",
"6","6","2","2",
"7","2","6","2",
"7","2","7","2",
"7","3","6","2",
"7","3","7","2",
"7","4","6","2",
"7","4","7","2",
"7","5","6","2",
"7","5","7","2",
"7","6","6","2",
"7","6","7","2",
"8","2","1","3",
"8","2","2","2",
"8","3","1","3",
"8","3","2","2",
"8","4","1","3",
"8","5","1","3",
"8","5","2","3",
"8","5","3","3",
"8","5","5","2",
"9","2","1","2",
"9","2","2","2",
"9","3","1","2",
"9","3","7","2",
"9","4","6","2",
"9","4","7","2",
"9","5","1","2",
"9","5","2","2",
"9","5","3","2",
"10","2","6","2",
"10","2","7","2",
"10","3","6","2",
"10","3","7","2",
"10","4","6","2",
"10","4","7","2",
"10","5","6","2",
"10","5","7","2",
"10","6","6","2",
"10","6","7","2",
"13","2","6","2",
"13","2","7","2",
"13","3","6","2",
"13","3","7","2",
"13","4","6","2",
"13","4","7","2",
"13","5","6","2",
"13","5","7","2",
"13","6","6","2",
"13","6","7","2",
"17","2","6","2",
"17","2","7","2",
"17","3","6","2",
"17","3","7","2",
"17","4","6","2",
"17","4","7","2",
"17","5","6","2",
"17","5","7","2",
"17","6","6","2",
"17","6","7","2",
"18","2","6","2",
"18","2","7","2",
"18","3","6","2",
"18","3","7","2",
"18","4","3","3",
"18","4","5","3",
"18","4","6","3",
"18","4","7","3",
"18","5","6","2",
"18","5","7","2",
"18","6","6","2",
"18","6","7","2",
"19","2","6","2",
"19","2","7","2",
"19","3","6","2",
"19","3","7","2",
"19","4","3","3",
"19","4","5","3",
"19","4","6","3",
"19","4","7","3",
"19","5","5","2",
"19","5","6","2",
"19","5","7","2",
"19","6","3","2",
"19","6","5","2",
"19","6","6","2",
"19","6","7","2",
"21","2","6","2",
"21","2","7","2",
"21","3","6","2",
"21","3","7","2",
"21","4","6","2",
"21","4","7","2",
"21","5","6","2",
"21","5","7","2",
"21","6","6","2",
"21","6","7","2",
"23","2","1","2",
"23","2","2","2",
"23","3","1","2",
"23","3","2","2",
"23","4","1","2",
"23","4","2","2",
"23","5","1","2",
"23","5","2","2",
"23","6","1","2",
"23","6","2","2",
"24","2","7","2",
"24","3","7","2",
"24","4","7","2",
"24","5","7","2",
"24","6","7","2",
