"CodMateria","CodDia","CodHora","CodMateProhibicionTipo",
"1","2","10","0",
"1","2","11","0",
"1","3","10","0",
"1","3","11","0",
"1","4","10","0",
"1","4","11","0",
"1","5","10","0",
"1","5","11","0",
"1","6","10","0",
"1","6","11","0",
"2","2","1","1",
"2","2","2","1",
"2","2","3","1",
"2","2","4","1",
"2","2","6","1",
"2","2","7","1",
"2","2","8","1",
"2","2","10","1",
"2","2","11","1",
"2","3","3","1",
"2","3","4","1",
"2","3","6","1",
"2","3","7","1",
"2","3","8","1",
"2","3","10","1",
"2","3","11","1",
"2","4","1","1",
"2","4","2","1",
"2","4","3","1",
"2","4","4","1",
"2","4","6","1",
"2","4","7","1",
"2","4","8","1",
"2","4","10","1",
"2","4","11","1",
"2","5","3","1",
"2","5","4","1",
"2","5","6","1",
"2","5","7","1",
"2","5","8","1",
"2","5","10","1",
"2","5","11","1",
"2","6","1","1",
"2","6","2","1",
"2","6","3","1",
"2","6","4","1",
"2","6","6","1",
"2","6","7","1",
"2","6","8","1",
"2","6","10","1",
"2","6","11","1",
"14","2","1","0",
"14","2","2","0",
"14","2","10","1",
"14","3","1","0",
"14","3","2","0",
"14","3","10","1",
"14","4","1","0",
"14","4","2","0",
"14","4","10","1",
"14","5","1","0",
"14","5","2","0",
"14","5","10","1",
"14","6","1","0",
"14","6","2","0",
"14","6","10","1",
"15","2","1","1",
"15","2","2","1",
"15","2","3","1",
"15","2","4","1",
"15","2","6","1",
"15","2","7","0",
"15","3","1","1",
"15","3","2","1",
"15","3","3","1",
"15","3","4","1",
"15","3","6","1",
"15","3","7","0",
"15","4","1","1",
"15","4","2","1",
"15","4","3","1",
"15","4","4","1",
"15","4","6","1",
"15","4","7","0",
"15","5","1","1",
"15","5","2","1",
"15","5","3","1",
"15","5","4","1",
"15","5","6","1",
"15","5","7","0",
"15","6","1","1",
"15","6","2","1",
"15","6","3","1",
"15","6","4","1",
"15","6","6","1",
"15","6","7","0",
"17","2","1","1",
"17","2","2","1",
"17","2","3","1",
