"CodProfesor","CodDia","CodHora","CodProfProhibicionTipo",
"1","2","10","1",
"1","2","11","1",
"1","3","10","1",
"1","3","11","1",
"1","4","10","1",
"1","4","11","1",
"1","5","10","1",
"1","5","11","1",
"1","6","10","1",
"1","6","11","1",
"4","3","1","2",
"4","3","2","2",
"4","3","3","2",
"4","3","4","2",
"4","3","6","2",
"4","4","6","2",
"4","5","1","2",
"4","5","2","2",
"4","5","3","2",
"4","5","4","2",
"4","5","6","2",
"4","6","6","2",
"6","2","1","1",
"6","3","1","1",
"6","4","1","1",
"6","5","1","1",
"6","6","1","1",
"12","2","1","1",
"12","2","2","1",
"12","2","3","1",
"12","2","4","1",
"12","3","1","1",
"12","3","2","1",
"12","3","3","1",
"12","3","4","1",
"12","4","1","1",
"12","4","2","1",
"12","4","3","1",
"12","4","4","1",
"12","5","1","1",
"12","5","2","1",
"12","5","3","1",
"12","5","4","1",
"12","6","1","1",
"12","6","2","1",
"12","6","3","1",
"12","6","4","1",
