"CodMateria","NomMateria",
"1","Aso. de Clase",
"2","Contabilidad",
"3","Tributaria",
"4","Taqui Mecano",
"5","Mecanografía",
"6","Red. Comercial",
"7","Matemática",
"8","Estadística",
"9","Castellano",
"10","Literatura",
"11","CC.SS.",
"12","Cívica",
"13","E.S.",
"14","Inglés",
"15","CC.NN.",
"16","Der. Mercantil",
"17","Legis. Laboral",
"18","Administración",
"19","R.H. y P.",
"20","Mecanización",
"21","Tec. Flujograma",
"22","Informática",
"23","Lab. Programac.",
"24","Manten. Equipos",
"25","Leng. Programa.",
"26","Investigación",
"27","Dibujo",
"28","In. Tecnológica",
"29","Org. Archivo",
